Common Name,Scientific name,Description,Diet,Habitat 
Green-winged Teal,Anas crecca  ,"The little Green-winged Teal is the smallest dabbling duck in North America. The natty male has a cinnamon-colored head with a gleaming green crescent that extends from the eye to the back of the head. In flight, both sexes flash deep-green wing patches (specula). Look for them on shallow ponds and in flooded fields, and listen for the male’s decidedly non-ducklike whistle. These common ducks breed along northern rivers; wintering flocks can number as many as 50,000 ","Green-winged Teal eat mainly aquatic invertebrates and seeds. They feed in shallow water, near shorelines, on mudflats, and in agricultural fields, taking advantage of whatever foods are most abundant. Migrating and wintering birds may feed at night or during the day. On the water they dabble along the surface where they pluck or strain seeds and invertebrates, and dip their head and neck or tip up to reach submerged food. They also probe mudflats for invertebrates and eat worms, seed shrimp, and copepods living just above the sediment. Depending on where they’re feeding, plant foods may include sedge fruit, seeds of pondweeds, grasses, smartweeds, sea purslane, bulrush, dwarf spikerush, swamp timothy, and agricultural crops including corn and rice. Animal prey includes midges, tadpoles, molluscs, and crustaceans. Chicks up to 2 weeks old eat mainly insect larvae. ","Green-winged Teal breed mostly in isolated river deltas, forest wetlands, and mixed prairie regions across northern North America—they occur in the prairie pothole region, but they are not as restricted to it as many other dabbling ducks. Nesting sites include grasslands or sedge meadows that provide brush thickets of sedge or cattail for cover, and weedy or burned areas. They also favor beaver ponds in wooded areas, and nest along streams, potholes, lakes, and human-made wetlands. The race living on the Aleutian Islands nests near shallow, weedy ponds, saltwater shorelines, and beaches. Migrating birds stop over in shallow wetlands, coastal marshes, and flooded fields. Wintering birds typically flock to shallow wetlands, including coastal marshes and bayous, estuaries, the playa lakes of Texas’s southern high plains, riparian sloughs, and agricultural areas such as rice fields. The nonmigratory Aleutian race of Alaska winters along the islands’ beaches. "
Canvasback,Aythya valisineria,"A large diving duck, the Canvasback breeds in prairie potholes and winters on ocean bays. Its sloping profile distinguishes it from other ducks. ","Seeds, buds, leaves, tubers, roots, snails, and insect larvae. ",
Redhead,Aythya americana  ,"With a gleaming cinnamon head setting off a body marked in black and business gray, adult male Redheads light up the open water of lakes and coastlines. These sociable ducks molt, migrate, and winter in sometimes-huge flocks, particularly along the Gulf Coast, where winter numbers can reach the thousands. Summers find them nesting in reedy ponds of the Great Plains and West. Female and young Redheads are uniform brown, with the same black-tipped, blue-gray bill as the male. ","Redheads eat submerged aquatic plants, including green algae, muskgrass, hardstem bulrush, pondweed, and widgeongrass. Though they’re classified as diving ducks, you may also see them “dabbling” in shallow water by tipping tail-up to reach for submerged vegetation and invertebrates. Throughout the year invertebrates and fish eggs also feature in the Redhead’s diet, and include snails, zebra mussels, caddisflies, midges, and mayflies. Birds wintering in the Gulf of Mexico feed almost exclusively on shoalgrass and small snails and clams ","Redheads breed mainly in the seasonal ponds and other wetlands of the Midwest’s prairie pothole region, where emergent plants provide food and cover. Females often take their broods to a deeper marsh or permanent lake located near their nesting sites to raise them. Opportunistic in their choice of nesting sites, Redheads also nest on reservoirs, sewage ponds, streams, and cropland ponds, as well as on the large marshes of the Great Basin and Canada. Smaller breeding populations are scattered across marshes and rivers from Alaska to California’s Salton Sea and on lakes and wetlands throughout the Southwest. Molting birds gather on freshwater lakes throughout Canada’s southern boreal forest, and on reservoirs and lakes in the western U.S. During spring and fall migration, look for these gregarious ducks forming large flocks on lakes, reservoirs, river pools, and bays. In winter flocks gather by the thousands on Gulf of Mexico bays to feed on seagrass "
Ring-necked Duck,Aythya collaris  ,"The male Ring-necked Duck is a sharply marked bird of gleaming black, gray, and white. Females are rich brown with a delicate face pattern. At distance, look for this species’ distinctive, peaked head to help you identify it. Even though this species dives for its food, you can find it in shallow wetlands such as beaver swamps, ponds, and bays. Of all the diving duck species, the Ring-necked Duck is most likely to drop into small ponds during migration. ","Ring-necked Ducks eat submerged plants and aquatic invertebrates. The plants they eat include leaves, stems, seeds, and tubers of pondweed, water lilies, wild celery, wild rice, millet, sedges, and arrowhead. They also eat mollusks (swallowing them whole and crushing the shells in their gizzard) as well as snails, caddisflies, dragonfly nymphs, midges, earthworms, and leeches. Protein-rich animal food is important during the breeding season, when adults are raising their young. Adult females eat almost entirely animal food during the time they’re feeding young. Plant foods become much more important in the diet during fall migration. ","Ring-necked Ducks breed in freshwater marshes and bogs across the boreal forest of northern North America. Although they’re diving ducks, they’re frequently seen in quite shallow waters (four feet deep or less), where patches of open water are fringed with aquatic or emergent vegetation such as sedges, lilies, and shrubs. They also use beaver ponds and other impoundments. On migration, Ring-necked Ducks stop to rest and feed on shallow lakes and impoundments with dense stands of cattails, bulrushes, and other emergent vegetation. They can form very large flocks on some lakes. During the winter, look for them in swamps, river floodplains, brackish portions of estuaries, shallow inland lakes, sloughs, marshes, reservoirs, and other managed freshwater impoundments "
Tufted Duck,Aythya fuligula ,"A common diving duck of the Old World, the Eurasian counterpart of our Ring-necked Duck. Tufted Ducks wander to North America from both directions, reaching the northeast from Europe and Iceland, reaching Alaska and the Pacific Coast from Asia. Although they are turning up more often, they are still considered rare everywhere except western Alaska. ",,
Greater Scaup,Aythya marila  ,"The Greater Scaup is found primarily along the seacoast and on large bodies of water. Unlike its look-alike relative the Lesser Scaup, the Greater Scaup is found across Eurasia as well as North America ","Clams, snails, crustaceans, aquatic insects, seeds, and aquatic plants. ","Found on lakes, ponds, and bays. Mostly marine in winter. "
Lesser Scaup,Aythya affinis  ,"Two scaup species live in North America: the Greater Scaup prefers salt water and is found in America and Eurasia, while the Lesser Scaup prefers freshwater and is found only in North America. The Lesser Scaup is one of the most abundant and widespread of the diving ducks in North America ","Clams, snails, crustaceans, aquatic insects, seeds, and aquatic plants. ",Found on lakes and ponds. Winters in fresh or brackish water 
Surf Scoter,Melanitta perspicillata ,"A black-and-white seaduck common on the Pacific and Atlantic coasts in winter, the Surf Scoter has a boldly patterned head that is the basis for its colloquial name ""skunk-headed coot."" ","Freshwater invertebrates, especially mollusks. ","Breeds on shallow lakes in boreal forest and tundra. Winters in shallow marine coastal waters, usually over pebble and sand bottom "
White-winged Scoter,Melanitta fusca  ,"A large black duck of coastal waters, the White-winged Scoter breeds farther inland than the other two scoter species and is the one most likely to appear inland on lakes and rivers during migration","Mollusks (especially clams and mussels), crustaceans, and insects; occasionally aquatic plants and fish.","Breeds on large freshwater or brackish lakes and ponds. Winters in coastal estuaries, bays, and open coastline with shallow water over shellfish beds. "
Long-tailed Duck,Clangula hyemalis  ,"Formerly known as Oldsquaw, the Long-tailed Duck breeds in the Arctic and winters along both coasts of North America. It is distinctive among ducks in plumage, molt sequences, foraging behavior, and vocalizations ","Mostly aquatic invertebrates, including insects and crustaceans. Also some bivalves, fish, fish eggs, and plant matter. ","Breeds in ponds, streams, and other arctic wetlands. Winters on open ocean or on large freshwater lakes."
Bufflehead,Bucephala albeola  ,"A buoyant, large-headed duck that abruptly vanishes and resurfaces as it feeds, the tiny Bufflehead spends winters bobbing in bays, estuaries, reservoirs, and lakes. Males are striking black-and white from a distance. A closer look at the head shows glossy green and purple setting off the striking white patch. Females are a subdued gray-brown with a neat white patch on the cheek. Bufflehead nest in old woodpecker holes, particularly those made by Northern Flickers, in the forests of northern North America. ","Bufflehead dive for aquatic invertebrates, crustaceans, and mollusks. They typically swallow their food while still underwater. Dives last on average about 12 seconds and rarely more than 25 seconds, typically staying on the surface another 12 seconds or so before diving again. Bufflehead forage in open, shallow water over sparse submerged vegetation or over mudflats that would be exposed at low tide. On freshwater they mostly eat damselfly and dragonfly larvae, midge larvae, water boatmen, mayfly larvae, caddisfly larvae, large zooplankton such as amphipods, and snails and clams in winter. They eat some plant matter in fall and winter, mainly seeds of pondweeds and bulrushes. In saltwater, Bufflehead eat shrimp, crabs, amphipods, isopods, snails, mussels, herring eggs, sculpins, and ratfishes. Downy ducklings sometimes dabble at the surface rather than diving. ","Bufflehead breed near ponds and lakes in boreal forest and aspen parkland of Canada and Alaska, with isolated populations in the western United States. The Bufflehead’s breeding range is limited by the distribution of Northern Flickers, which are their main source of nesting cavities. Bufflehead are North America’s smallest diving duck; they benefit by using old flicker nests that larger ducks such as goldeneyes and mergansers cannot fit into. In winter they occur mainly near the coast (although they can be found in smaller numbers inland). They use shallow, sheltered coves, harbors, estuaries, or beaches, avoiding open coastlines. Inland, they use ponds, lakes, impoundments, or bays along slow-moving rivers. During spring migration they spend time on major rivers or valley lakes, often in the first spots to become free of ice."
Common Goldeneye,Bucephala clangula ,"The male Common Goldeneye adds a bright note to winter days with its radiant amber eye, glistening green-black head, and crisp black-and-white body and wings. The female has a chocolate brown head with the same bright eye that gives this species its name. These distinctively shaped, large-headed ducks dive for their food, eating mostly aquatic invertebrates and fish. They nest in tree cavities in the boreal forest of Canada and Alaska; look for them on large rivers, lakes, and Atlantic, Pacific, and Gulf coasts in winter. ","Common Goldeneyes eat mainly aquatic invertebrates, fish, and fish eggs, with vegetation such as seeds and tubers making up less than a quarter of the diet. They feed mainly along shorelines in relatively shallow water (less than 13 feet), although will sometimes forage in water more than 20 feet deep. Common Goldeneyes eat crustaceans and mollusks, including crabs, shrimp, crayfish, amphipods, barnacles, and mussels, along with insect prey such as caddisfly larvae, water boatmen, beetles, and nymphs of dragonfly, damselfly, and mayfly. They also eat sticklebacks, sculpin, minnows, and young salmon and salmon eggs. Vegetation in their diet includes the seeds of pondweeds, scatterdock, and bulrush. These aggressive ducks dominate most other duck species when competing for feeding areas ","Common Goldeneyes breed mainly in the boreal forests of Canada and Alaska, with smaller numbers in North Dakota, Montana, Minnesota, and the Northeast. They nest in holes in trees near lakes, rivers, or wetlands. Typical breeding sites feature lakes with abundant invertebrate prey and clear water offering good visibility and little emergent vegetation, although they may feed in stands of bulrush. Migrating birds stop to feed on large lakes and rivers en route to their main wintering areas along the coasts. In winter, look for Common Goldeneyes in shallow coastal bays, estuaries, and harbors along the Atlantic, Gulf, and Pacific coasts that offer good foraging sites: sand, gravel, rock, and boulder substrates supporting mollusks and crustaceans. In the interior, wintering flocks gather on large lakes and rivers as far north as open water occurs, and in ice-free areas created by industrial or power-generator discharge of warm water. "
Barrow's Goldeneye,Bucephala islandica  ,"A medium-sized black-and-white diving duck, the Barrow's Goldeneye was originally described from a population living in Iceland. It is, however, primarily a duck of the western mountains of North America. ","Aquatic invertebrates and fish eggs, occasionally small fish and vegetation ","Breeds along lakes in parkland, especially alkaline lakes. Winters along rocky coasts."
Hooded Merganser,Lophodytes cucullatus,"“Hooded” is something of an understatement for this extravagantly crested little duck. Adult males are a sight to behold, with sharp black-and-white patterns set off by chestnut flanks. Females get their own distinctive elegance from their cinnamon crest. Hooded Mergansers are fairly common on small ponds and rivers, where they dive for fish, crayfish, and other food, seizing it in their thin, serrated bills. They nest in tree cavities; the ducklings depart with a bold leap to the forest floor when only one day old. ","Hooded Mergansers eat small fish, aquatic insects, crustaceans (especially crayfish), amphibians, vegetation, and mollusks—their diet is broader than in other mergansers, which eat fish almost exclusively. Hooded Mergansers dive in clear, shallow forest ponds, rivers, and streams and locate prey by sight, with eyes that are specially adapted to seeing underwater. They propel themselves with their feet and use their slender, serrated bills to grasp their prey. Ducklings can dive for food right after leaving the nest, at one day old, though their dives are short and shallow during their first week. They also feed by swimming with just their heads underwater. ","Hooded Mergansers breed in forested wetlands throughout the eastern half of North America and the Pacific Northwest, and may also nest in treeless wetlands where people have put up nest boxes. They are most common in forests around the Great Lakes. Their habitat ranges from spruce-fir forest in the Northwest to pine-hardwood forest and cottonwood-elder riparian forest in the Midwest, to oak-cypress-tupelo forest in the Southeast. Families of newly hatched ducklings forage in shallow water such as marshes, small lakes, ponds, beaver wetlands, swamps, and forested rivers—and rest on exposed rocks, logs, or sandbars. They winter in these habitats as well as on shallow freshwater and brackish bays, estuaries, and tidal creeks, where they often concentrate along the edge of ice. During migration they stop in a wider range of habitats, including open waters of rivers and lakes, brackish coastal bays, tidal creeks, and seasonally flooded forest "
Common Merganser,Mergus merganser  ,"Common Mergansers are streamlined ducks that float gracefully down small rivers or shallow shorelines. The males are striking with clean white bodies, dark green heads, and a slender, serrated red bill. The elegant gray-bodied females have rich, cinnamon heads with a short crest. In summer, look for them leading ducklings from eddy to eddy along streams or standing on a flat rock in the middle of the current. These large ducks nest in hollow trees; in winter they form flocks on larger bodies of water. ","Common Mergansers mostly eat fish, but they also eat aquatic invertebrates (including insects, mollusks, crustaceans, and worms), frogs, small mammals, birds, and plants. They forage in clear aquatic habitats such as streams, rivers, lakes, coastal bays, and estuaries. While they mainly hunt in waters less than about 13 feet deep, in the winter they sometimes venture into deeper waters where fish are schooling. They find their prey by sight, often probing sediments and underwater stones with their slender bills, which have sharp serrations for grasping slippery prey. Their diet is heaviest in fish during the winter, and includes salmon, trout, suckers, sculpin, shad, sunfish, sticklebacks, chub, minnows, and eels. During the breeding season they supplement their fish diet with caddisflies, mayflies, backswimmers, flies, water striders, dragonflies, crane flies, beetles, caterpillars, freshwater sponges, spiders, snails, mussels, and other invertebrates. Nestlings eat mostly aquatic invertebrates, switching to fish at about 12 days old. ","Common Mergansers spend the breeding season in northern forested habitats near large lakes and rivers. Since they nest in cavities of large trees, breeding Common Mergansers are usually found in mature forests. They spend winters on large lakes, rivers, and reservoirs in the southern and coastal regions of their breeding range, and in additional wintering grounds across the northern and western United States. They tend to prefer freshwater wintering habitat over saltwater, but they may winter in coastal bays, estuaries, and harbors. "
Red-breasted Merganser,Mergus serrator  ,"A large diving duck with a long thin bill, the Red-breasted Merganser is found in large lakes, rivers and the ocean. It prefers salt water more than the other two species of merganser. ","Mostly fish; also crustaceans, insects, and tadpoles. ",
Ruddy Duck,Oxyura jamaicensis ,"Ruddy Ducks are compact, thick-necked waterfowl with seemingly oversized tails that they habitually hold upright. Breeding males are almost cartoonishly bold, with a sky-blue bill, shining white cheek patch, and gleaming chestnut body. They court females by beating their bill against their neck hard enough to create a swirl of bubbles in the water. This widespread duck breeds mostly in the prairie pothole region of North America and winters in wetlands throughout the U.S. and Mexico ","Both adults and ducklings eat aquatic insects, crustaceans, zooplankton, and other invertebrates, along with small amounts of aquatic plants and seeds. They forage mostly by diving to the bottom of shallow ponds, straining mouthfuls of mud through thin plates on their bills and swallowing the prey items that are left behind. Occasionally they strain food from the surface of the water. Midge larvae form a large part of their diet. Other food items include water fleas, worms, amphipods, seed shrimp, snails, caddisfly larvae, dragonfly nymphs, predaceous diving beetles and their larvae, bugs, water boatmen, brine fly larvae, crane fly larvae, mosquitoes, mayflies, and plant material from arrowhead, pondweed, muskgrass, bulrushes, bayberry, spikerushes, water lilies, duckweed, and more. Plant material is more common in their diet during migration and winter than during the breeding season.","Ruddy Ducks breed in wetlands and reservoirs from southwestern Canada through the western United States and Mexico, as well as in scattered sites in the eastern United States and on the Caribbean islands. About 86 percent of the breeding population is concentrated in the prairie pothole region of south-central Canada and north-central United States. Their breeding habitat includes large marshes, stock ponds, reservoirs, and deep natural basins. Migrating Ruddy Ducks stop in a variety of habitats, most often on large, permanent wetlands, lakes, and reservoirs. They spend the winter throughout the southern half of the breeding range, also moving into wintering habitat that spans most of the United States and extends through Mexico to Central America. Their wintering habitat includes freshwater wetlands, lakes, and reservoirs as well as brackish bays, coastal marshes, and tidal estuaries "
,,,,
California Quail,Callipepla californica  ,"The California Quail is a handsome, round soccer ball of a bird with a rich gray breast, intricately scaled underparts, and a curious, forward-drooping head plume. Its stiffly accented Chi-ca-go call is a common sound of the chaparral and other brushy areas of California and the Northwest. Often seen scratching at the ground in large groups or dashing forward on blurred legs, California Quail are common but unobtrusive. They flush to cover if scared, so approach them gently ","Mainly a seedeater; also eats leaves, flowers, catkins, grain, manzanita and poison oak berries, acorns, and invertebrates such as caterpillars, beetles, mites, millipedes, and snails. Diet is typically about 70 percent vegetarian. ","California Quail are characteristic birds of coastal sagebrush, chaparral, foothills, and high desert of California and the northwestern United States. They’re also frequent visitors to backyards, especially if there’s birdseed available at ground level."
,,,,
Ring-necked Pheasant,Phasianus colchicus  ,"Ring-necked Pheasants stride across open fields and weedy roadsides in the U.S. and southern Canada. Males sport iridescent copper-and-gold plumage, a red face, and a crisp white collar; their rooster-like crowing can be heard from up to a mile away. The brown females blend in with their field habitat. Introduced to the U.S. from Asia in the 1880s, pheasants quickly became one of North America’s most popular upland game birds. Watch for them along roads or bursting into flight from brushy cover ","in fall and winter, Ring-necked Pheasants eat seeds—especially grain from farm fields—as well as grasses, leaves, roots, wild fruits and nuts, and insects. Their spring and summer diet is similar, but with a greater emphasis on animal prey and fresh greenery. They eat insects such as grasshoppers, beetles, caterpillars, crickets, and ants, as well as snails and earthworms. Ring-necked Pheasants forage in grasslands, hayfields, woodland edges, and brushy areas. They sometimes pick waste grain from cow manure in pastures. Pheasants take most of their food from the ground, scratching or digging with their bills. They can retrieve roots or seeds from as deep as three inches below the soil surface. They also sometimes forage in shrubs or trees for fruit, leaves, and buds. ","Look for Ring-necked pheasants on agricultural land and old fields—especially fields that are interspersed with grass ditches, hedges, marshes, woodland borders, and brushy groves. These birds also occur in an impressive range of habitats: in Hawaii, for example, they can be found from sea level to a 11,000 feet elevation. They can live in forests, grasslands, and deserts. Despite this versatility, Ring-necked Pheasants do gravitate to particular kinds of habitat for specific activities. Typically, they roost in trees or dense shrubs in spring and summer and in forested wetlands, farm fields and weedy areas in fall. For early season nesting, they seek cover along grassy roadsides, fence lines, ditches, and wetlands. As the season progresses and vegetation grows taller and denser, they shift their nesting activity to fields of hay, particularly alfalfa. "
Wild Turkey,Meleagris gallopavo ,"Most North American kids learn turkey identification early, by tracing outlines of their hands to make Thanksgiving cards. These big, spectacular birds are an increasingly common sight the rest of the year, too, as flocks stride around woods and clearings like miniature dinosaurs. Courting males puff themselves into feathery balls and fill the air with exuberant gobbling. The Wild Turkey’s popularity at the table led to a drastic decline in numbers, but they have recovered and now occur in every state except Alaska","Wild Turkeys eat plant matter that they forage for in flocks, mostly on the ground but sometimes climbing into shrubs or low trees for fruits. In fall, winter, and early spring they scratch the forest floor for acorns from red oak, white oak, chestnut oak, and black oak, along with American beech nuts, pecans, hickory nuts, wild black cherries, white ash seeds, and other seeds and berries. When deep snow covers the ground, they eat hemlock buds, evergreen ferns, spore-covered fronds of sensitive ferns, club mosses, and burdock. During the spring they may dig up plant bulbs if nuts are scarce. In late spring and summer, Wild Turkeys strip seeds from sedges and grasses, occasionally supplementing their plant diet with salamanders, snails, ground beetles, and other insects. Like most birds they swallow grit to help digest their food. ","Wild Turkeys live year-round in open forests with interspersed clearings in 49 states (excluding Alaska), parts of Mexico, and parts of southern Alberta, Ontario, Manitoba, and Saskatchewan, Canada. Turkeys in northeastern North America use mature oak-hickory forests and humid forests of red oak, beech, cherry, and white ash. In the Southeast, turkeys live in forests containing pine, magnolia, beech, live oak, pecan, American elm, cedar elm, cottonwood, hickory, bald cypress, tupelo, sweetgum, or water ash, with understories of sourwood, huckleberry, blueberry, mountain laurel, greenbrier, rose, wisteria, buttonbush, or Carolina willow. Southwestern birds are often found in open grassy savannah with small oak species. In Alberta, turkeys live between pinyon-juniper forest and ponderosa pine forest "
,,,,
Pacific Loon,Gavia pacifica  ,"The Pacific Loon is perhaps the most abundant loon in North America. It spends most of the year on the Pacific Ocean, returning to inland Arctic tundra lakes only for three months in summer to breed ",Fish and aquatic invertebrates. ,"Breeds on freshwater tundra lakes. Rests on open ocean during migration. Winters on ocean waters near coast, and sometimes on bays or estuaries. "
